%time,field.layout.data_offset,field.data0
1749437657656338589,0,291
1749437657659723127,0,293
1749437657659734645,0,292
1749437657659745381,0,292
1749437657659763447,0,291
1749437657659769745,0,291
1749437657659778509,0,292
1749437657659892225,0,292
1749437657659899769,0,291
1749437657659917447,0,291
1749437657659925450,0,292
1749437657660032598,0,292
1749437657660056939,0,293
1749437657660077415,0,292
1749437657660091385,0,292
1749437657660101592,0,292
1749437657660153336,0,292
1749437657663752446,0,292
1749437657663763279,0,293
1749437657663772021,0,292
1749437657663782259,0,291
1749437657663797340,0,292
1749437657663816805,0,293
1749437657663825796,0,293
1749437657663834703,0,293
1749437657663927662,0,292
1749437657663934399,0,292
1749437657663947319,0,292
1749437657663955768,0,292
1749437657664063293,0,291
1749437657664089625,0,292
1749437657664103769,0,292
1749437657664147129,0,290
1749437657667832647,0,293
1749437657668055502,0,292
1749437657668063240,0,292
1749437657668069802,0,292
1749437657668077061,0,292
1749437657668083500,0,292
1749437657668089188,0,292
1749437657668172248,0,292
1749437657668443036,0,292
1749437657668460167,0,292
1749437657668521734,0,292
1749437657668587684,0,292
1749437657668709353,0,293
1749437657668743036,0,293
1749437657668810475,0,292
1749437657668818365,0,292
1749437657672001532,0,292
1749437657672018736,0,293
1749437657672202320,0,292
1749437657672209863,0,292
1749437657672216146,0,291
1749437657672225158,0,292
1749437657672233675,0,292
1749437657672267088,0,292
1749437657672298582,0,292
1749437657672310424,0,292
1749437657672316991,0,299
1749437657672325739,0,292
1749437657672592706,0,289
1749437657672607745,0,292
1749437657672614227,0,290
1749437657672648327,0,292
1749437657676146267,0,294
1749437657676155585,0,292
1749437657676163996,0,292
1749437657676171798,0,291
1749437657676180063,0,292
1749437657676240780,0,293
1749437657676396400,0,292
1749437657676404458,0,292
1749437657676486419,0,292
1749437657676697397,0,294
1749437657676717169,0,294
1749437657676725137,0,292
1749437657676754431,0,293
1749437657676969821,0,292
1749437657676995078,0,292
1749437657677038579,0,292
1749437657680319492,0,291
1749437657680327473,0,293
1749437657680353973,0,292
1749437657680369513,0,292
1749437657680390684,0,292
1749437657680404155,0,292
1749437657680429626,0,292
1749437657680580919,0,292
1749437657680595067,0,292
1749437657680620768,0,292
1749437657680727521,0,292
1749437657680752054,0,292
1749437657680836054,0,292
1749437657680845525,0,292
1749437657680854735,0,292
1749437657680864002,0,292
1749437657684418046,0,291
1749437657684438015,0,291
1749437657684464408,0,292
1749437657684648202,0,293
1749437657684690684,0,291
1749437657684715921,0,294
1749437657684723718,0,293
1749437657684757996,0,292
1749437657684785883,0,293
1749437657684880729,0,293
1749437657684891665,0,292
1749437657684910139,0,293
1749437657684916757,0,290
1749437657684922191,0,291
1749437657684946050,0,292
1749437657684981066,0,292
1749437657688394141,0,292
1749437657688458655,0,293
1749437657688467163,0,292
1749437657688472938,0,291
1749437657688502733,0,292
1749437657688530164,0,291
1749437657688558353,0,292
1749437657688583929,0,292
1749437657689028702,0,294
1749437657689071506,0,292
1749437657689138428,0,292
1749437657689209350,0,291
1749437657689226083,0,294
1749437657689260249,0,293
1749437657689316539,0,292
1749437657689324917,0,292
1749437657692594366,0,292
1749437657692615829,0,292
1749437657692630263,0,292
1749437657692647692,0,292
1749437657692668615,0,292
1749437657692680206,0,293
1749437657692813083,0,292
1749437657692821346,0,289
1749437657692830026,0,293
1749437657692844091,0,292
1749437657692850750,0,292
1749437657692885191,0,292
1749437657692935545,0,292
1749437657692974160,0,293
1749437657693217786,0,293
1749437657693247269,0,292
1749437657696743817,0,292
1749437657696757459,0,292
1749437657696767429,0,291
1749437657696805706,0,292
1749437657696812867,0,292
1749437657696824174,0,292
1749437657697111933,0,292
1749437657697229883,0,294
1749437657697254244,0,292
1749437657697346375,0,291
1749437657697372247,0,291
1749437657697391715,0,292
1749437657697412336,0,292
1749437657697448199,0,291
1749437657697471172,0,291
1749437657700750576,0,293
1749437657700769058,0,292
1749437657700959913,0,292
1749437657700973508,0,292
1749437657700980453,0,293
