%time,field.layout.data_offset,field.data0
1749302465112440543,0,316
1749302465112447055,0,321
1749302465112451488,0,316
1749302465112456993,0,315
1749302465112466604,0,315
1749302465112472470,0,317
1749302465116448313,0,316
1749302465116451643,0,316
1749302465116453717,0,317
1749302465116461604,0,316
1749302465116479423,0,316
1749302465116503856,0,317
1749302465116511605,0,317
1749302465116517303,0,316
1749302465116522544,0,316
1749302465116531753,0,316
1749302465116537621,0,316
1749302465116552016,0,316
1749302465116557660,0,316
1749302465116567549,0,316
1749302465116573253,0,315
1749302465120576733,0,318
1749302465120585859,0,317
1749302465120591301,0,317
1749302465120596088,0,316
1749302465120602716,0,316
1749302465120628979,0,316
1749302465120642870,0,316
1749302465120657361,0,316
1749302465120662793,0,316
1749302465120672416,0,316
1749302465120680405,0,317
1749302465120706085,0,318
1749302465120712080,0,322
1749302465120717394,0,316
1749302465120724943,0,317
1749302465120730035,0,316
1749302465124660115,0,316
1749302465124665887,0,315
1749302465124671241,0,315
1749302465124677144,0,316
1749302465124711020,0,316
1749302465124717293,0,316
1749302465124725336,0,317
1749302465124730725,0,316
1749302465124734132,0,316
1749302465124739196,0,316
1749302465124759903,0,316
1749302465124763974,0,316
1749302465124796549,0,316
1749302465124799599,0,316
1749302465124829921,0,317
1749302465128783091,0,316
1749302465128789210,0,317
1749302465128813912,0,316
1749302465128831330,0,316
1749302465128851499,0,317
1749302465128856540,0,318
1749302465128862826,0,316
1749302465128891097,0,316
1749302465128897838,0,317
1749302465128903717,0,318
1749302465128909161,0,314
1749302465128913291,0,314
1749302465128918085,0,314
1749302465128923259,0,328
1749302465128928513,0,317
1749302465128932547,0,316
1749302465132878630,0,315
1749302465132887909,0,317
1749302465132892952,0,315
1749302465132901839,0,316
1749302465132909625,0,316
1749302465132922604,0,315
1749302465133013356,0,316
1749302465133017094,0,316
1749302465133019215,0,317
1749302465133022087,0,317
1749302465133028779,0,316
1749302465133031203,0,315
1749302465133034605,0,316
1749302465133051225,0,316
1749302465133063086,0,315
1749302465137001344,0,316
1749302465137007980,0,316
1749302465137019420,0,315
1749302465137026078,0,317
1749302465137033274,0,316
1749302465137038567,0,315
1749302465137047086,0,316
1749302465137059626,0,317
1749302465137065668,0,316
1749302465137103659,0,317
1749302465137106672,0,317
1749302465137145314,0,316
1749302465137151332,0,316
1749302465137154268,0,316
1749302465137168262,0,316
1749302465141059996,0,316
1749302465141068188,0,315
1749302465141072413,0,317
1749302465141077080,0,315
1749302465141088562,0,315
1749302465141094841,0,316
1749302465141100294,0,316
1749302465141124664,0,315
1749302465141131308,0,316
1749302465141140273,0,316
1749302465141147207,0,316
1749302465141153032,0,316
1749302465141162267,0,316
1749302465141169037,0,319
1749302465141174927,0,316
1749302465145150943,0,315
1749302465145156429,0,316
1749302465145181901,0,316
1749302465145194058,0,315
1749302465145207196,0,316
1749302465145211931,0,316
1749302465145216983,0,316
1749302465145227006,0,320
1749302465145229574,0,316
1749302465145236974,0,316
1749302465145240770,0,317
1749302465145244283,0,318
1749302465145250999,0,317
1749302465145272463,0,316
1749302465145278750,0,316
1749302465149287600,0,318
1749302465149292475,0,316
1749302465149295416,0,317
1749302465149298632,0,315
1749302465149302491,0,317
1749302465149478348,0,314
1749302465149491503,0,316
1749302465149507610,0,316
1749302465149514141,0,317
1749302465149524035,0,316
1749302465149539276,0,316
1749302465149545616,0,315
1749302465149551409,0,316
1749302465149557725,0,316
1749302465149563867,0,316
1749302465149569223,0,315
1749302465153395720,0,316
1749302465153405102,0,315
1749302465153407733,0,316
1749302465153409532,0,316
1749302465153411843,0,316
1749302465153416411,0,316
1749302465153419217,0,316
1749302465153425514,0,316
1749302465153500124,0,316
1749302465153524705,0,316
1749302465153533341,0,316
1749302465153541360,0,317
1749302465153546202,0,316
1749302465153550580,0,315
1749302465153561667,0,318
1749302465153563933,0,317
1749302465157470047,0,316
1749302465157477716,0,316
1749302465157482823,0,316
1749302465157494181,0,317
1749302465157497110,0,318
1749302465157507715,0,314
1749302465157513847,0,316
1749302465157517330,0,318
1749302465157526009,0,315
1749302465157536474,0,316
1749302465157542850,0,315
1749302465157555748,0,315
1749302465157565815,0,315
1749302465157585118,0,317
1749302465157590491,0,316
