%time,field.data
1749302437871624689,4.0
1749302437881662257,4.0
1749302437891791242,4.0
1749302437901700265,4.0
1749302437911635717,4.0
1749302437921657431,4.0
1749302437931564290,4.0
1749302437941603342,4.0
1749302437951669756,4.0
1749302437961760779,4.0
1749302437971706728,4.0
1749302437981690507,4.0
1749302437991659182,4.0
1749302438001546289,4.0
1749302438011629070,4.0
1749302438021641347,4.0
1749302438031550315,4.0
1749302438041560910,4.0
1749302438051651908,4.0
1749302438061737594,4.0
1749302438071580743,4.0
1749302438081569328,4.0
1749302438091583852,4.0
1749302438101575807,4.0
1749302438111653092,4.0
1749302438121628982,4.0
1749302438131566844,4.0
1749302438141543981,4.0
1749302438151741886,4.0
1749302438161720193,4.0
1749302438171568928,4.0
1749302438181566934,4.0
1749302438191610650,4.0
1749302438201606337,4.0
1749302438211579725,4.0
1749302438221585990,4.0
1749302438231543637,4.0
1749302438241732506,4.0
1749302438251573748,4.0
1749302438261775939,4.0
1749302438271583101,4.0
1749302438281814539,4.0
1749302438291615032,4.0
1749302438301693914,4.0
1749302438311603648,4.0
1749302438321691785,4.0
1749302438331582011,4.0
1749302438341624420,4.0
1749302438351647058,4.0
1749302438361627714,4.0
1749302438371636691,4.0
1749302438381653423,4.0
1749302438391614698,4.0
1749302438401828468,4.0
1749302438411700424,4.0
1749302438421778844,4.0
1749302438431559209,4.0
1749302438441634076,4.0
1749302438451711401,4.0
1749302438461685455,4.0
1749302438471819311,4.0
1749302438481818605,4.0
1749302438491645223,4.0
1749302438501792087,4.0
1749302438511680844,4.0
1749302438521638898,4.0
1749302438531609152,4.0
1749302438541776634,4.0
1749302438551630520,4.0
1749302438561659482,4.0
1749302438571750879,4.0
1749302438581760689,4.0
1749302438591610864,4.0
1749302438601539304,4.0
1749302438611640813,4.0
1749302438621644899,4.0
1749302438631596771,4.0
1749302438641598862,4.0
1749302438651588779,4.0
1749302438661614665,4.0
1749302438671589347,4.0
1749302438681590686,4.0
1749302438691550712,4.0
1749302438701613543,4.0
1749302438711560622,4.0
1749302438721580627,4.0
1749302438731557283,4.0
1749302438741700668,4.0
1749302438751609507,4.0
1749302438761746987,4.0
1749302438771563691,4.0
1749302438781653128,4.0
1749302438791643423,4.0
1749302438801675428,4.0
1749302438811558593,4.0
1749302438821600684,4.0
1749302438831636843,4.0
1749302438841767202,4.0
1749302438851669543,4.0
1749302438861707316,4.0
1749302438871715606,4.0
1749302438881813536,4.0
1749302438891614311,4.0
1749302438901615851,4.0
1749302438911571812,4.0
1749302438921599257,4.0
1749302438931633594,4.0
1749302438941640656,4.0
1749302438951567383,4.0
1749302438961571812,4.0
1749302438971627138,4.0
1749302438981669448,4.0
1749302438991607107,4.0
1749302439001615264,4.0
1749302439011615194,4.0
1749302439021629301,4.0
1749302439031679137,4.0
1749302439041627217,4.0
1749302439051836172,4.0
1749302439061692725,4.0
1749302439071615564,4.0
1749302439081603025,4.0
1749302439091688488,4.0
1749302439101721729,4.0
1749302439111586297,4.0
1749302439121659122,4.0
1749302439131618315,4.0
1749302439141674421,4.0
1749302439151562021,4.0
1749302439161628342,4.0
1749302439171870394,4.0
1749302439181570682,4.0
1749302439191594157,4.0
1749302439201592952,4.0
1749302439211576427,4.0
1749302439221745082,4.0
1749302439231662707,4.0
1749302439241634676,4.0
1749302439251621502,4.0
1749302439261656882,4.0
1749302439271548029,4.0
1749302439281620294,4.0
1749302439291543569,4.0
1749302439301642345,4.0
1749302439311587913,4.0
1749302439321686940,4.0
1749302439331617313,4.0
1749302439341689574,4.0
1749302439351642806,4.0
1749302439361603269,4.0
1749302439371631328,4.0
1749302439381635378,4.0
1749302439391576392,4.0
1749302439401813456,4.0
1749302439411592157,4.0
1749302439421623355,4.0
1749302439431618236,4.0
1749302439441738335,4.0
1749302439451553418,4.0
1749302439461634034,4.0
1749302439471660256,4.0
1749302439481677395,4.0
1749302439491599129,4.0
1749302439501704950,4.0
1749302439511684711,4.0
1749302439521645952,4.0
1749302439531638272,4.0
1749302439541619649,4.0
1749302439551631868,4.0
1749302439561662477,4.0
1749302439571593377,4.0
1749302439581673214,4.0
1749302439591609198,4.0
1749302439601693098,4.0
1749302439611642993,4.0
1749302439621723561,4.0
1749302439631615550,4.0
1749302439641709162,4.0
1749302439651837333,4.0
1749302439661689133,4.0
1749302439671647598,4.0
1749302439681624472,4.0
1749302439691610004,4.0
1749302439701583323,4.0
1749302439711553573,4.0
1749302439721574506,4.0
1749302439731529289,4.0
1749302439741593189,4.0
1749302439751566125,4.0
1749302439761542334,4.0
1749302439771530980,4.0
1749302439781537307,4.0
1749302439791514872,4.0
1749302439801614416,4.0
1749302439811632651,4.0
1749302439821638930,4.0
1749302439831604843,4.0
1749302439841624197,4.0
1749302439851508818,4.0
1749302439861612654,4.0
1749302439871630793,4.0
1749302439881564433,4.0
1749302439891667536,4.0
1749302439901777926,4.0
1749302439911706405,4.0
1749302439921920531,4.0
1749302439931694592,4.0
1749302439941665218,4.0
1749302439951615657,4.0
1749302439961694451,4.0
1749302439971545697,4.0
1749302439981630533,4.0
1749302439991595975,4.0
1749302440001711587,4.0
1749302440011625605,4.0
1749302440021676389,4.0
1749302440031647274,4.0
1749302440041613041,4.0
1749302440051604589,4.0
1749302440061687479,4.0
1749302440071613108,4.0
1749302440081687639,4.0
1749302440091819866,4.0
1749302440101656984,4.0
1749302440111657383,4.0
1749302440121697244,4.0
1749302440131691611,4.0
1749302440141666375,4.0
1749302440151586294,4.0
1749302440161613669,4.0
1749302440171600299,4.0
1749302440181647526,4.0
1749302440191624192,4.0
1749302440201663793,4.0
1749302440211708462,4.0
1749302440221617011,4.0
1749302440231577398,4.0
1749302440241573629,4.0
1749302440251621051,4.0
1749302440261740385,4.0
1749302440271606228,4.0
1749302440281682882,4.0
1749302440291731895,4.0
1749302440301661221,4.0
1749302440311637092,4.0
1749302440321628085,4.0
1749302440331574725,4.0
1749302440341567603,4.0
1749302440351559755,4.0
1749302440361577690,4.0
1749302440371545321,4.0
1749302440381558969,4.0
1749302440391626617,4.0
1749302440401605571,4.0
1749302440411590215,4.0
1749302440421705255,4.0
1749302440431573065,4.0
1749302440441621782,4.0
1749302440451614144,4.0
1749302440461674168,4.0
1749302440471560877,4.0
1749302440481682179,4.0
1749302440491706055,4.0
1749302440501878918,4.0
1749302440511838943,4.0
1749302440521800074,4.0
1749302440531617365,4.0
1749302440541753385,4.0
1749302440551646214,4.0
1749302440561610229,4.0
1749302440571585146,4.0
1749302440581656431,4.0
1749302440591638165,4.0
1749302440601627723,4.0
1749302440611664397,4.0
1749302440621626599,4.0
1749302440631723260,4.0
1749302440641631050,4.0
1749302440651530930,4.0
1749302440661600244,4.0
1749302440671850874,4.0
1749302440681629604,4.0
1749302440691639357,4.0
1749302440701683973,4.0
1749302440711752103,4.0
1749302440721716272,2.0
1749302440731604933,2.0
1749302440741692629,2.0
1749302440751616330,2.0
1749302440761777043,2.0
1749302440771569156,2.0
1749302440781568776,2.0
1749302440791707735,2.0
1749302440801692539,2.0
1749302440811579152,2.0
1749302440821600877,2.0
1749302440831569042,2.0
1749302440841575582,2.0
1749302440851567912,2.0
1749302440861574053,2.0
1749302440871716367,2.0
1749302440881570953,2.0
1749302440891649671,2.0
1749302440901703146,2.0
1749302440911666059,2.0
1749302440921614550,2.0
1749302440931570550,2.0
1749302440941570846,2.0
1749302440951568048,2.0
1749302440961568835,2.0
1749302440971693488,2.0
1749302440981623372,2.0
1749302440991655869,2.0
1749302441001742114,2.0
1749302441011718221,2.0
1749302441021770057,2.0
1749302441031725964,2.0
1749302441041602570,2.0
1749302441051590303,2.0
1749302441061689049,2.0
1749302441071616019,2.0
1749302441081591871,2.0
1749302441091676357,2.0
1749302441101822040,2.0
1749302441111629829,2.0
1749302441121662358,2.0
1749302441131635320,2.0
1749302441141648658,2.0
1749302441151647235,2.0
1749302441161777522,2.0
1749302441171676244,2.0
1749302441181703993,2.0
1749302441191965665,2.0
1749302441201715834,2.0
1749302441211748022,2.0
1749302441221744648,2.0
1749302441231633226,2.0
1749302441241720412,2.0
1749302441251638961,2.0
1749302441261699913,2.0
1749302441271710885,2.0
1749302441281704233,2.0
1749302441291692988,2.0
1749302441301598034,2.0
1749302441311657521,2.0
1749302441321624623,2.0
1749302441331562076,2.0
1749302441341607235,2.0
1749302441351595060,2.0
1749302441361581748,2.0
1749302441371594189,2.0
1749302441381689194,2.0
1749302441391605328,2.0
1749302441401562675,2.0
1749302441411601040,2.0
1749302441421664367,2.0
1749302441431605501,2.0
1749302441441611101,2.0
